UavEast	UavNorth
[meter]	[meter]
748844	3638486
748844	3638486
748844	3638486
748844	3638486
748844	3638486
748839	3638494
748839	3638494
748839	3638494
748839	3638494
748839	3638494
748834	3638503
748834	3638503
748834	3638503
748834	3638503
748834	3638503
748829	3638511
748829	3638511
748829	3638511
748829	3638511
748829	3638511
748829	3638511
748829	3638511
748823	3638519
748823	3638519
748823	3638519
748823	3638519
748823	3638519
748823	3638519
748818	3638527
748818	3638527
748818	3638527
748818	3638527
748818	3638527
748818	3638527
748818	3638527
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748811	3638537
748806	3638544
748806	3638544
748806	3638544
748806	3638544
748806	3638544
748799	3638553
748799	3638553
748799	3638553
748799	3638553
748799	3638553
748793	3638561
748793	3638561
748793	3638561
748793	3638561
748793	3638561
748793	3638561
748793	3638561
748793	3638561
748787	3638569
748787	3638569
748787	3638569
748787	3638569
748787	3638569
748781	3638576
748781	3638576
748781	3638576
748781	3638576
748781	3638576
748776	3638584
748776	3638584
748776	3638584
748776	3638584
748776	3638584
748776	3638584
748776	3638584
748768	3638591
748768	3638591
748768	3638591
748768	3638591
748768	3638591
748768	3638591
748768	3638591
748768	3638591
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748761	3638601
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748749	3638615
748743	3638622
748743	3638622
748743	3638622
748743	3638622
748743	3638622
748734	3638630
748734	3638630
748734	3638630
748734	3638630
748734	3638630
748734	3638630
748734	3638630
748734	3638630
748728	3638637
748728	3638637
748728	3638637
748728	3638637
748728	3638637
748721	3638644
748721	3638644
748721	3638644
748721	3638644
748721	3638644
748721	3638644
748721	3638644
748715	3638651
748715	3638651
748715	3638651
748715	3638651
748715	3638651
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748706	3638659
748699	3638665
748699	3638665
748699	3638665
748699	3638665
748699	3638665
748693	3638672
748693	3638672
748693	3638672
748693	3638672
748693	3638672
748693	3638672
748693	3638672
748693	3638672
748686	3638679
748686	3638679
748686	3638679
748686	3638679
748686	3638679
748677	3638686
748677	3638686
748677	3638686
748677	3638686
748677	3638686
748677	3638686
748677	3638686
748671	3638691
748671	3638691
748671	3638691
748671	3638691
748671	3638691
748662	3638698
748662	3638698
748662	3638698
748662	3638698
748662	3638698
748662	3638698
748662	3638698
748662	3638698
748655	3638704
748655	3638704
748655	3638704
748655	3638704
748655	3638704
748655	3638704
748655	3638704
748647	3638711
748647	3638711
748647	3638711
748647	3638711
